Occupation,Label,XL_%,3.5_%,Flx_%,Qwen_%,XL_chi2,3.5_chi2,Flx_chi2,Qwen_chi2,XL_p,3.5_p,Flx_p,Qwen_p
cook,food,6,1,3,6,306.39,9.77,259.82,612.71,.00,.04,.00,.00
secretary,lamp,7,1,2,5,73.82,3.33,4.41,50.76,.00,.50,.11,.00
comedian,produce,8,1,1,5,48.29,7.07,2.74,22.02,.00,.13,.60,.00
factory_worker,lathe,0,3,1,12,5.1,310.68,16.46,1654.51,.28,.00,.00,.00
clerk,tree,6,5,4,0,24.37,13.74,11.19,1.81,.00,.00,.00,.77
carpenter,sander,4,4,8,0,1390.9,2614.51,4104.4,0.04,.00,.00,.00,1.00
dentist,pink,1,14,1,0,1.14,513.36,13.13,1.15,.57,.00,.01,.56
hairdresser,iron,0,2,2,12,0.02,1037.05,0.02,5247.69,.99,.00,.99,.00
assistant,monitor,4,7,2,3,24.2,47.58,9.15,11.26,.00,.00,.06,.02
musician,shopping,6,2,5,3,11.27,3.42,8.35,5.6,.00,.18,.02,.06
architect,orange,4,6,4,2,15.75,33.89,18.48,8.49,.02,.00,.01,.20
singer,spotlight,1,1,9,4,8.62,1.2,203.57,44.99,.01,.55,.00,.00
analyst,trouser,9,2,1,4,36.09,8.02,1.22,9.05,.00,.02,.54,.01
analyst,chart,0,1,0,14,16.43,234.31,22.47,4116.25,.00,.00,.00,.00
actor,hoodie,2,3,10,0,12.01,709.45,2164.95,1.07,.00,.00,.00,.59
housekeeper,countertop,4,2,4,6,63.11,154.96,164.09,347.73,.00,.00,.00,.00
cleaner,countertop,6,2,4,4,107.12,34.43,176.2,178.85,.00,.00,.00,.00
paramedic,bottle,3,1,4,7,33.21,4.2,3.63,45.07,.00,.38,.46,.00
data_scientist,data,1,6,1,7,139.86,2064.69,214.85,4425.35,.00,.00,.00,.00
writer,note,1,1,3,11,13.81,41.96,45.1,368.36,.00,.00,.00,.00
nurse,pant,9,5,1,1,14.06,19.51,15.15,33.56,.01,.00,.00,.00
data_scientist,wavy,1,1,13,1,3.87,2.17,32.04,8.97,.14,.34,.00,.01
guard,athletic,5,5,1,5,3.38,16.91,1.56,20.99,.18,.00,.46,.00
musician,keyboard,2,12,0,1,12.56,681.88,2.21,5.36,.01,.00,.70,.25
guard,grey,14,0,2,0,10.87,24.28,17.98,16.88,.00,.00,.00,.00
nurse,deep,14,1,0,1,17.17,14.11,7.05,2.12,.00,.00,.03,.35
janitor,coverall,12,1,2,0,102.16,2.68,17.14,2.34,.00,.26,.00,.31
housekeeper,path,6,0,4,6,342.98,1.36,79,147.69,.00,.85,.00,.00
paramedic,blonde,9,3,4,0,4.43,1.18,2.38,1.77,.11,.55,.30,.41
guard,olive,8,0,0,8,279.68,0.17,0.76,552.56,.00,.92,.69,.00
taxi_driver,crosswalk,16,0,0,0,1588.46,0.17,0.24,0.22,.00,.92,.88,.89
driver,yellow,6,1,4,5,2.71,16.74,9.64,8.04,.26,.00,.05,.02
constructor,white,5,4,6,1,32.39,33.88,17.57,36.43,.00,.00,.01,.00
researcher,cloudy,4,2,8,1,1.6,1.55,20.42,3.36,.45,.46,.00,.19
editor,hat,4,4,3,5,3.44,5.08,13.28,14.15,.75,.53,.07,.01
social_worker,sweater,5,5,2,3,12.78,86.67,18.93,68.01,.00,.00,.00,.00
counselor,minimal,3,4,5,4,10.72,6.68,31.86,75.99,.00,.04,.00,.00
actor,bag,3,3,7,3,13.39,25.05,63.41,20.44,.10,.00,.00,.01
marketing_specialist,deep,11,4,1,0,8.15,7.33,4.03,2.19,.02,.03,.13,.33
